image,label
002501.jpg,data/labels/002501.txt
001587.jpg,data/labels/001587.txt
000054.jpg,data/labels/000054.txt
002028.jpg,data/labels/002028.txt
002249.jpg,data/labels/002249.txt
003444.jpg,data/labels/003444.txt
002361.jpg,data/labels/002361.txt
001437.jpg,data/labels/001437.txt
002148.jpg,data/labels/002148.txt
000660.jpg,data/labels/000660.txt
000698.jpg,data/labels/000698.txt
003310.jpg,data/labels/003310.txt
003858.jpg,data/labels/003858.txt
002685.jpg,data/labels/002685.txt
001077.jpg,data/labels/001077.txt
002047.jpg,data/labels/002047.txt
001944.jpg,data/labels/001944.txt
002803.jpg,data/labels/002803.txt
000782.jpg,data/labels/000782.txt
003057.jpg,data/labels/003057.txt
000413.jpg,data/labels/000413.txt
000374.jpg,data/labels/000374.txt
002968.jpg,data/labels/002968.txt
003368.jpg,data/labels/003368.txt
000014.jpg,data/labels/000014.txt
002266.jpg,data/labels/002266.txt
003886.jpg,data/labels/003886.txt
000985.jpg,data/labels/000985.txt
001156.jpg,data/labels/001156.txt
001423.jpg,data/labels/001423.txt
001258.jpg,data/labels/001258.txt
000258.jpg,data/labels/000258.txt
002721.jpg,data/labels/002721.txt
000120.jpg,data/labels/000120.txt
003241.jpg,data/labels/003241.txt
001680.jpg,data/labels/001680.txt
001702.jpg,data/labels/001702.txt
002786.jpg,data/labels/002786.txt
003492.jpg,data/labels/003492.txt
002886.jpg,data/labels/002886.txt
001167.jpg,data/labels/001167.txt
000629.jpg,data/labels/000629.txt
003324.jpg,data/labels/003324.txt
000390.jpg,data/labels/000390.txt
003062.jpg,data/labels/003062.txt
003714.jpg,data/labels/003714.txt
000002.jpg,data/labels/000002.txt
003842.jpg,data/labels/003842.txt
000339.jpg,data/labels/000339.txt
003545.jpg,data/labels/003545.txt
003438.jpg,data/labels/003438.txt
000883.jpg,data/labels/000883.txt
000515.jpg,data/labels/000515.txt
001440.jpg,data/labels/001440.txt
003197.jpg,data/labels/003197.txt
003018.jpg,data/labels/003018.txt
000957.jpg,data/labels/000957.txt
000694.jpg,data/labels/000694.txt
001691.jpg,data/labels/001691.txt
002852.jpg,data/labels/002852.txt
000370.jpg,data/labels/000370.txt
002739.jpg,data/labels/002739.txt
000557.jpg,data/labels/000557.txt
001327.jpg,data/labels/001327.txt
002316.jpg,data/labels/002316.txt
001043.jpg,data/labels/001043.txt
000336.jpg,data/labels/000336.txt
000072.jpg,data/labels/000072.txt
003489.jpg,data/labels/003489.txt
003713.jpg,data/labels/003713.txt
003528.jpg,data/labels/003528.txt
000513.jpg,data/labels/000513.txt
003775.jpg,data/labels/003775.txt
000665.jpg,data/labels/000665.txt
001323.jpg,data/labels/001323.txt
001739.jpg,data/labels/001739.txt
002967.jpg,data/labels/002967.txt
002607.jpg,data/labels/002607.txt
003061.jpg,data/labels/003061.txt
000488.jpg,data/labels/000488.txt
002205.jpg,data/labels/002205.txt
000396.jpg,data/labels/000396.txt
003480.jpg,data/labels/003480.txt
000730.jpg,data/labels/000730.txt
002675.jpg,data/labels/002675.txt
002734.jpg,data/labels/002734.txt
001171.jpg,data/labels/001171.txt
002436.jpg,data/labels/002436.txt
000835.jpg,data/labels/000835.txt
003136.jpg,data/labels/003136.txt
001726.jpg,data/labels/001726.txt
003612.jpg,data/labels/003612.txt
003622.jpg,data/labels/003622.txt
000863.jpg,data/labels/000863.txt
001929.jpg,data/labels/001929.txt
002960.jpg,data/labels/002960.txt
000039.jpg,data/labels/000039.txt
001953.jpg,data/labels/001953.txt
003563.jpg,data/labels/003563.txt
002305.jpg,data/labels/002305.txt
001700.jpg,data/labels/001700.txt
000541.jpg,data/labels/000541.txt
002182.jpg,data/labels/002182.txt
002217.jpg,data/labels/002217.txt
002250.jpg,data/labels/002250.txt
002639.jpg,data/labels/002639.txt
003204.jpg,data/labels/003204.txt
002385.jpg,data/labels/002385.txt
000980.jpg,data/labels/000980.txt
003167.jpg,data/labels/003167.txt
002021.jpg,data/labels/002021.txt
002080.jpg,data/labels/002080.txt
002497.jpg,data/labels/002497.txt
002012.jpg,data/labels/002012.txt
003240.jpg,data/labels/003240.txt
003114.jpg,data/labels/003114.txt
002037.jpg,data/labels/002037.txt
003525.jpg,data/labels/003525.txt
001065.jpg,data/labels/001065.txt
001017.jpg,data/labels/001017.txt
001073.jpg,data/labels/001073.txt
003660.jpg,data/labels/003660.txt
000130.jpg,data/labels/000130.txt
002987.jpg,data/labels/002987.txt
002128.jpg,data/labels/002128.txt
000056.jpg,data/labels/000056.txt
003793.jpg,data/labels/003793.txt
000974.jpg,data/labels/000974.txt
001178.jpg,data/labels/001178.txt
000893.jpg,data/labels/000893.txt
000646.jpg,data/labels/000646.txt
001356.jpg,data/labels/001356.txt
001951.jpg,data/labels/001951.txt
000346.jpg,data/labels/000346.txt
000990.jpg,data/labels/000990.txt
000627.jpg,data/labels/000627.txt
001869.jpg,data/labels/001869.txt
003932.jpg,data/labels/003932.txt
001181.jpg,data/labels/001181.txt
002716.jpg,data/labels/002716.txt
002702.jpg,data/labels/002702.txt
002891.jpg,data/labels/002891.txt
001292.jpg,data/labels/001292.txt
000921.jpg,data/labels/000921.txt
002913.jpg,data/labels/002913.txt
002330.jpg,data/labels/002330.txt
003128.jpg,data/labels/003128.txt
001731.jpg,data/labels/001731.txt
002079.jpg,data/labels/002079.txt
003573.jpg,data/labels/003573.txt
002842.jpg,data/labels/002842.txt
002664.jpg,data/labels/002664.txt
003156.jpg,data/labels/003156.txt
000193.jpg,data/labels/000193.txt
000946.jpg,data/labels/000946.txt
003415.jpg,data/labels/003415.txt
002781.jpg,data/labels/002781.txt
002881.jpg,data/labels/002881.txt
003581.jpg,data/labels/003581.txt
002267.jpg,data/labels/002267.txt
002200.jpg,data/labels/002200.txt
000367.jpg,data/labels/000367.txt
001694.jpg,data/labels/001694.txt
001457.jpg,data/labels/001457.txt
003422.jpg,data/labels/003422.txt
003670.jpg,data/labels/003670.txt
001799.jpg,data/labels/001799.txt
001614.jpg,data/labels/001614.txt
000473.jpg,data/labels/000473.txt
002067.jpg,data/labels/002067.txt
001403.jpg,data/labels/001403.txt
003562.jpg,data/labels/003562.txt
003045.jpg,data/labels/003045.txt
001131.jpg,data/labels/001131.txt
003882.jpg,data/labels/003882.txt
000927.jpg,data/labels/000927.txt
002078.jpg,data/labels/002078.txt
001524.jpg,data/labels/001524.txt
002656.jpg,data/labels/002656.txt
001843.jpg,data/labels/001843.txt
000869.jpg,data/labels/000869.txt
001580.jpg,data/labels/001580.txt
001806.jpg,data/labels/001806.txt
001980.jpg,data/labels/001980.txt
001055.jpg,data/labels/001055.txt
001318.jpg,data/labels/001318.txt
003583.jpg,data/labels/003583.txt
002524.jpg,data/labels/002524.txt
002568.jpg,data/labels/002568.txt
003154.jpg,data/labels/003154.txt
000016.jpg,data/labels/000016.txt
000726.jpg,data/labels/000726.txt
000244.jpg,data/labels/000244.txt
001641.jpg,data/labels/001641.txt
002245.jpg,data/labels/002245.txt
001139.jpg,data/labels/001139.txt
001717.jpg,data/labels/001717.txt
000639.jpg,data/labels/000639.txt
003832.jpg,data/labels/003832.txt
000250.jpg,data/labels/000250.txt
001108.jpg,data/labels/001108.txt
000400.jpg,data/labels/000400.txt
002682.jpg,data/labels/002682.txt
003883.jpg,data/labels/003883.txt
000806.jpg,data/labels/000806.txt
000444.jpg,data/labels/000444.txt
001688.jpg,data/labels/001688.txt
001057.jpg,data/labels/001057.txt
003673.jpg,data/labels/003673.txt
003703.jpg,data/labels/003703.txt
003297.jpg,data/labels/003297.txt
003074.jpg,data/labels/003074.txt
000724.jpg,data/labels/000724.txt
000619.jpg,data/labels/000619.txt
003232.jpg,data/labels/003232.txt
002649.jpg,data/labels/002649.txt
003803.jpg,data/labels/003803.txt
000163.jpg,data/labels/000163.txt
001248.jpg,data/labels/001248.txt
001773.jpg,data/labels/001773.txt
003221.jpg,data/labels/003221.txt
001399.jpg,data/labels/001399.txt
001288.jpg,data/labels/001288.txt
003406.jpg,data/labels/003406.txt
003693.jpg,data/labels/003693.txt
003234.jpg,data/labels/003234.txt
002938.jpg,data/labels/002938.txt
001410.jpg,data/labels/001410.txt
002759.jpg,data/labels/002759.txt
002262.jpg,data/labels/002262.txt
003701.jpg,data/labels/003701.txt
003176.jpg,data/labels/003176.txt
003383.jpg,data/labels/003383.txt
003692.jpg,data/labels/003692.txt
000397.jpg,data/labels/000397.txt
000063.jpg,data/labels/000063.txt
001015.jpg,data/labels/001015.txt
000299.jpg,data/labels/000299.txt
000487.jpg,data/labels/000487.txt
000734.jpg,data/labels/000734.txt
002353.jpg,data/labels/002353.txt
003915.jpg,data/labels/003915.txt
002809.jpg,data/labels/002809.txt
002946.jpg,data/labels/002946.txt
002617.jpg,data/labels/002617.txt
002138.jpg,data/labels/002138.txt
000935.jpg,data/labels/000935.txt
000680.jpg,data/labels/000680.txt
003433.jpg,data/labels/003433.txt
001612.jpg,data/labels/001612.txt
000289.jpg,data/labels/000289.txt
001430.jpg,data/labels/001430.txt
001227.jpg,data/labels/001227.txt
001493.jpg,data/labels/001493.txt
001097.jpg,data/labels/001097.txt
001993.jpg,data/labels/001993.txt
001655.jpg,data/labels/001655.txt
003218.jpg,data/labels/003218.txt
003010.jpg,data/labels/003010.txt
002601.jpg,data/labels/002601.txt
002463.jpg,data/labels/002463.txt
001985.jpg,data/labels/001985.txt
000392.jpg,data/labels/000392.txt
002303.jpg,data/labels/002303.txt
000647.jpg,data/labels/000647.txt
001794.jpg,data/labels/001794.txt
001422.jpg,data/labels/001422.txt
000092.jpg,data/labels/000092.txt
001069.jpg,data/labels/001069.txt
000474.jpg,data/labels/000474.txt
001573.jpg,data/labels/001573.txt
000881.jpg,data/labels/000881.txt
003246.jpg,data/labels/003246.txt
002858.jpg,data/labels/002858.txt
000765.jpg,data/labels/000765.txt
000634.jpg,data/labels/000634.txt
000188.jpg,data/labels/000188.txt
001696.jpg,data/labels/001696.txt
003223.jpg,data/labels/003223.txt
003860.jpg,data/labels/003860.txt
001785.jpg,data/labels/001785.txt
002011.jpg,data/labels/002011.txt
001685.jpg,data/labels/001685.txt
001066.jpg,data/labels/001066.txt
001129.jpg,data/labels/001129.txt
001050.jpg,data/labels/001050.txt
002686.jpg,data/labels/002686.txt
001216.jpg,data/labels/001216.txt
002885.jpg,data/labels/002885.txt
001955.jpg,data/labels/001955.txt
002167.jpg,data/labels/002167.txt
001252.jpg,data/labels/001252.txt
002477.jpg,data/labels/002477.txt
002981.jpg,data/labels/002981.txt
000273.jpg,data/labels/000273.txt
001115.jpg,data/labels/001115.txt
001907.jpg,data/labels/001907.txt
002066.jpg,data/labels/002066.txt
001397.jpg,data/labels/001397.txt
003385.jpg,data/labels/003385.txt
003891.jpg,data/labels/003891.txt
002832.jpg,data/labels/002832.txt
003107.jpg,data/labels/003107.txt
002106.jpg,data/labels/002106.txt
000662.jpg,data/labels/000662.txt
001058.jpg,data/labels/001058.txt
002526.jpg,data/labels/002526.txt
000290.jpg,data/labels/000290.txt
000465.jpg,data/labels/000465.txt
000156.jpg,data/labels/000156.txt
001552.jpg,data/labels/001552.txt
001833.jpg,data/labels/001833.txt
002692.jpg,data/labels/002692.txt
000322.jpg,data/labels/000322.txt
002239.jpg,data/labels/002239.txt
002873.jpg,data/labels/002873.txt
001187.jpg,data/labels/001187.txt
001865.jpg,data/labels/001865.txt
003678.jpg,data/labels/003678.txt
002193.jpg,data/labels/002193.txt
003912.jpg,data/labels/003912.txt
001877.jpg,data/labels/001877.txt
000907.jpg,data/labels/000907.txt
001927.jpg,data/labels/001927.txt
000035.jpg,data/labels/000035.txt
001588.jpg,data/labels/001588.txt
001105.jpg,data/labels/001105.txt
002700.jpg,data/labels/002700.txt
003769.jpg,data/labels/003769.txt
003592.jpg,data/labels/003592.txt
003801.jpg,data/labels/003801.txt
003504.jpg,data/labels/003504.txt
001289.jpg,data/labels/001289.txt
003135.jpg,data/labels/003135.txt
003654.jpg,data/labels/003654.txt
001629.jpg,data/labels/001629.txt
002159.jpg,data/labels/002159.txt
000201.jpg,data/labels/000201.txt
002173.jpg,data/labels/002173.txt
000450.jpg,data/labels/000450.txt
002367.jpg,data/labels/002367.txt
001531.jpg,data/labels/001531.txt
000458.jpg,data/labels/000458.txt
000095.jpg,data/labels/000095.txt
001202.jpg,data/labels/001202.txt
001049.jpg,data/labels/001049.txt
002696.jpg,data/labels/002696.txt
001671.jpg,data/labels/001671.txt
001067.jpg,data/labels/001067.txt
002658.jpg,data/labels/002658.txt
000561.jpg,data/labels/000561.txt
001889.jpg,data/labels/001889.txt
000309.jpg,data/labels/000309.txt
002502.jpg,data/labels/002502.txt
003159.jpg,data/labels/003159.txt
003404.jpg,data/labels/003404.txt
003068.jpg,data/labels/003068.txt
003861.jpg,data/labels/003861.txt
000034.jpg,data/labels/000034.txt
000482.jpg,data/labels/000482.txt
000851.jpg,data/labels/000851.txt
001117.jpg,data/labels/001117.txt
002408.jpg,data/labels/002408.txt
001472.jpg,data/labels/001472.txt
002875.jpg,data/labels/002875.txt
003780.jpg,data/labels/003780.txt
000211.jpg,data/labels/000211.txt
002196.jpg,data/labels/002196.txt
002457.jpg,data/labels/002457.txt
002592.jpg,data/labels/002592.txt
000979.jpg,data/labels/000979.txt
001659.jpg,data/labels/001659.txt
000061.jpg,data/labels/000061.txt
002931.jpg,data/labels/002931.txt
003175.jpg,data/labels/003175.txt
000205.jpg,data/labels/000205.txt
000325.jpg,data/labels/000325.txt
000607.jpg,data/labels/000607.txt
001804.jpg,data/labels/001804.txt
001895.jpg,data/labels/001895.txt
002548.jpg,data/labels/002548.txt
000093.jpg,data/labels/000093.txt
001364.jpg,data/labels/001364.txt
002431.jpg,data/labels/002431.txt
003570.jpg,data/labels/003570.txt
000826.jpg,data/labels/000826.txt
003948.jpg,data/labels/003948.txt
000217.jpg,data/labels/000217.txt
003166.jpg,data/labels/003166.txt
003856.jpg,data/labels/003856.txt
000843.jpg,data/labels/000843.txt
002814.jpg,data/labels/002814.txt
000139.jpg,data/labels/000139.txt
000287.jpg,data/labels/000287.txt
000969.jpg,data/labels/000969.txt
003600.jpg,data/labels/003600.txt
001818.jpg,data/labels/001818.txt
002945.jpg,data/labels/002945.txt
000802.jpg,data/labels/000802.txt
003011.jpg,data/labels/003011.txt
003016.jpg,data/labels/003016.txt
000144.jpg,data/labels/000144.txt
001465.jpg,data/labels/001465.txt
003728.jpg,data/labels/003728.txt
003340.jpg,data/labels/003340.txt
003742.jpg,data/labels/003742.txt
000645.jpg,data/labels/000645.txt
003867.jpg,data/labels/003867.txt
001502.jpg,data/labels/001502.txt
000600.jpg,data/labels/000600.txt
000361.jpg,data/labels/000361.txt
002903.jpg,data/labels/002903.txt
001387.jpg,data/labels/001387.txt
001243.jpg,data/labels/001243.txt
002628.jpg,data/labels/002628.txt
003559.jpg,data/labels/003559.txt
002360.jpg,data/labels/002360.txt
000853.jpg,data/labels/000853.txt
003439.jpg,data/labels/003439.txt
000576.jpg,data/labels/000576.txt
002395.jpg,data/labels/002395.txt
002710.jpg,data/labels/002710.txt
002376.jpg,data/labels/002376.txt
000999.jpg,data/labels/000999.txt
002940.jpg,data/labels/002940.txt
000031.jpg,data/labels/000031.txt
000009.jpg,data/labels/000009.txt
001591.jpg,data/labels/001591.txt
003151.jpg,data/labels/003151.txt
000608.jpg,data/labels/000608.txt
000572.jpg,data/labels/000572.txt
000189.jpg,data/labels/000189.txt
001453.jpg,data/labels/001453.txt
002191.jpg,data/labels/002191.txt
000106.jpg,data/labels/000106.txt
002650.jpg,data/labels/002650.txt
000059.jpg,data/labels/000059.txt
000283.jpg,data/labels/000283.txt
001628.jpg,data/labels/001628.txt
000447.jpg,data/labels/000447.txt
000959.jpg,data/labels/000959.txt
001228.jpg,data/labels/001228.txt
001971.jpg,data/labels/001971.txt
001281.jpg,data/labels/001281.txt
002483.jpg,data/labels/002483.txt
001421.jpg,data/labels/001421.txt
003574.jpg,data/labels/003574.txt
002665.jpg,data/labels/002665.txt
002323.jpg,data/labels/002323.txt
000632.jpg,data/labels/000632.txt
003054.jpg,data/labels/003054.txt
002871.jpg,data/labels/002871.txt
002424.jpg,data/labels/002424.txt
000763.jpg,data/labels/000763.txt
002909.jpg,data/labels/002909.txt
001443.jpg,data/labels/001443.txt
003516.jpg,data/labels/003516.txt
003736.jpg,data/labels/003736.txt
002114.jpg,data/labels/002114.txt
003271.jpg,data/labels/003271.txt
002086.jpg,data/labels/002086.txt
003722.jpg,data/labels/003722.txt
002634.jpg,data/labels/002634.txt
001189.jpg,data/labels/001189.txt
002826.jpg,data/labels/002826.txt
000531.jpg,data/labels/000531.txt
002791.jpg,data/labels/002791.txt
001204.jpg,data/labels/001204.txt
000090.jpg,data/labels/000090.txt
002905.jpg,data/labels/002905.txt
002547.jpg,data/labels/002547.txt
003133.jpg,data/labels/003133.txt
000952.jpg,data/labels/000952.txt
003250.jpg,data/labels/003250.txt
003754.jpg,data/labels/003754.txt
003102.jpg,data/labels/003102.txt
001448.jpg,data/labels/001448.txt
003949.jpg,data/labels/003949.txt
000767.jpg,data/labels/000767.txt
001094.jpg,data/labels/001094.txt
003709.jpg,data/labels/003709.txt
003012.jpg,data/labels/003012.txt
000023.jpg,data/labels/000023.txt
002810.jpg,data/labels/002810.txt
003360.jpg,data/labels/003360.txt
